cohort_id,threshold_name,audit,rate,clean_mean,clean_sd,attacked_mean,shift,standardised_shift,conventional_flag_threshold,shift_as_fraction_of_conventional_threshold
mimic_race_matched,sens0.80,FNR,0.005,0.05640755103245994,0.012390594900666532,0.03582820360679061,-0.02057934742566933,-1.660884533039031,0.1,-0.2057934742566933
mimic_race_matched,sens0.80,FNR,0.01,0.05640755103245994,0.012390594900666532,0.044264595466343405,-0.012142955566116533,-0.9800139269716034,0.1,-0.12142955566116533
mimic_race_matched,sens0.80,FNR,0.02,0.05640755103245994,0.012390594900666532,0.040700211188193655,-0.015707339844266283,-1.2676824615920042,0.1,-0.15707339844266283
mimic_race_matched,sens0.80,FNR,0.05,0.05640755103245994,0.012390594900666532,0.04699198834668602,-0.00941556268577392,-0.7598959340739503,0.1,-0.09415562685773919
mimic_race_matched,sens0.80,FNR,0.1,0.05640755103245994,0.012390594900666532,0.05960692562294887,0.0031993745904889334,0.25820992584600017,0.1,0.031993745904889334
mimic_race_matched,sens0.80,FNR,0.5,0.05640755103245994,0.012390594900666532,0.14403709713250865,0.08762954610004871,7.072263019052848,0.1,0.876295461000487
mimic_race_matched,sens0.80,FNR,0.75,0.05640755103245994,0.012390594900666532,0.2642836989523078,0.20787614791984788,16.776930372299194,0.1,2.0787614791984788
mimic_race_matched,sens0.80,FNR,1.0,0.05640755103245994,0.012390594900666532,0.3313045018798842,0.27489695084742427,22.18593643414463,0.1,2.7489695084742425
mimic_race_matched,spec0.90,AUROC,0.005,0.00802281758968368,0.0015311042041902972,0.00668337500861282,-0.0013394425810708604,-0.874821307005166,0.05,-0.02678885162141721
mimic_race_matched,spec0.90,AUROC,0.01,0.00802281758968368,0.0015311042041902972,0.00585644922981852,-0.0021663683598651604,-1.4149058920590016,0.05,-0.04332736719730321
mimic_race_matched,spec0.90,AUROC,0.02,0.00802281758968368,0.0015311042041902972,0.00692322706396562,-0.0010995905257180603,-0.7181683145462743,0.05,-0.021991810514361207
mimic_race_matched,spec0.90,AUROC,0.05,0.00802281758968368,0.0015311042041902972,0.00714002209633872,-0.00088279549334496,-0.5765744035768054,0.05,-0.0176559098668992
mimic_race_matched,spec0.90,AUROC,0.1,0.00802281758968368,0.0015311042041902972,0.00767701303738082,-0.00034580455230286047,-0.2258530486406275,0.05,-0.006916091046057209
mimic_race_matched,spec0.90,AUROC,0.5,0.00802281758968368,0.0015311042041902972,0.008836513746604,0.0008136961569203197,0.5314440092930391,0.05,0.016273923138406393
mimic_race_matched,spec0.90,AUROC,0.75,0.00802281758968368,0.0015311042041902972,0.015116740004975733,0.007093922415292053,4.633206803219232,0.05,0.14187844830584107
mimic_race_matched,spec0.90,AUROC,1.0,0.00802281758968368,0.0015311042041902972,0.046836918619098535,0.038814101029414856,25.350398048146662,0.05,0.7762820205882971
mimic_race_matched,spec0.90,FNR,0.005,0.06952877755499746,0.01938136857374056,0.050363912971341906,-0.019164864583655558,-0.9888292723364056,0.1,-0.19164864583655558
mimic_race_matched,spec0.90,FNR,0.01,0.06952877755499746,0.01938136857374056,0.06184523926694352,-0.0076835382880539455,-0.39643940822962426,0.1,-0.07683538288053945
mimic_race_matched,spec0.90,FNR,0.02,0.06952877755499746,0.01938136857374056,0.06032727139791956,-0.009201506157077904,-0.4747603928003746,0.1,-0.09201506157077904
mimic_race_matched,spec0.90,FNR,0.05,0.06952877755499746,0.01938136857374056,0.06091522382855226,-0.008613553726445206,-0.44442443234455287,0.1,-0.08613553726445206
mimic_race_matched,spec0.90,FNR,0.1,0.06952877755499746,0.01938136857374056,0.08411285492130352,0.014584077366306056,0.7524792333842584,0.1,0.14584077366306056
mimic_race_matched,spec0.90,FNR,0.5,0.06952877755499746,0.01938136857374056,0.2121214336800644,0.14259265612506694,7.357202644516185,0.1,1.4259265612506693
mimic_race_matched,spec0.90,FNR,0.75,0.06952877755499746,0.01938136857374056,0.3286093918286197,0.2590806142736222,13.36750876430086,0.1,2.590806142736222
mimic_race_matched,spec0.90,FNR,1.0,0.06952877755499746,0.01938136857374056,0.3603196787464813,0.2907909011914838,15.003630939946664,0.1,2.907909011914838
mimic_race_matched,t0.5,AUROC,0.005,0.00802281758968368,0.0015311042041902972,0.00668337500861282,-0.0013394425810708604,-0.874821307005166,0.05,-0.02678885162141721
mimic_race_matched,t0.5,AUROC,0.01,0.00802281758968368,0.0015311042041902972,0.00585644922981852,-0.0021663683598651604,-1.4149058920590016,0.05,-0.04332736719730321
mimic_race_matched,t0.5,AUROC,0.02,0.00802281758968368,0.0015311042041902972,0.00692322706396562,-0.0010995905257180603,-0.7181683145462743,0.05,-0.021991810514361207
mimic_race_matched,t0.5,AUROC,0.05,0.00802281758968368,0.0015311042041902972,0.00714002209633872,-0.00088279549334496,-0.5765744035768054,0.05,-0.0176559098668992
mimic_race_matched,t0.5,AUROC,0.1,0.00802281758968368,0.0015311042041902972,0.00767701303738082,-0.00034580455230286047,-0.2258530486406275,0.05,-0.006916091046057209
mimic_race_matched,t0.5,AUROC,0.5,0.00802281758968368,0.0015311042041902972,0.008836513746604,0.0008136961569203197,0.5314440092930391,0.05,0.016273923138406393
mimic_race_matched,t0.5,AUROC,0.75,0.00802281758968368,0.0015311042041902972,0.015116740004975733,0.007093922415292053,4.633206803219232,0.05,0.14187844830584107
mimic_race_matched,t0.5,AUROC,1.0,0.00802281758968368,0.0015311042041902972,0.046836918619098535,0.038814101029414856,25.350398048146662,0.05,0.7762820205882971
mimic_race_matched,t0.5,FNR,0.005,0.07893061722632003,0.01666051463000506,0.06301068314178289,-0.015919934084537138,-0.9555487593321902,0.1,-0.15919934084537138
