subset,threshold_name,threshold_value,rate,seed,n,proxy_fnr_high,proxy_fnr_low,true_fnr_black,true_fnr_white,tercile_lo_thr,tercile_hi_thr,proxy_gap,true_gap,proxy_transfer_effect,true_transfer_effect,proxy_highstratum_asr,true_highstratum_asr
leakage_free,youden_j,0.279296875,0.5,42,15567,0.3199023199023199,0.13663845223700122,0.277992277992278,0.14895267649340574,6.300210952758789e-05,0.21114095052083304,0.18326386766531866,0.12903960149887225,0.05374767648044548,0.04245307038169721,0.05616605616605613,0.04633204633204632
leakage_free,youden_j,0.279296875,0.75,42,15567,0.4822954822954823,0.1487303506650544,0.4,0.16408068269976725,6.300210952758789e-05,0.21114095052083304,0.3335651316304279,0.23591931730023277,0.20404894044555472,0.14933278618305773,0.21855921855921856,0.16833976833976835
leakage_free,youden_j,0.279296875,1.0,42,15567,0.6715506715506715,0.19105199516324062,0.5451737451737452,0.2152831652443755,6.300210952758789e-05,0.21114095052083304,0.4804986763874309,0.32989057992936965,0.3509824852025577,0.2433040488121946,0.40781440781440775,0.31351351351351353
leakage_free,youden_j,0.288330078125,0.0,123,15567,0.2686202686202686,0.154776299879081,0.24092664092664093,0.16834755624515127,6.300210952758789e-05,0.21114095052083304,0.1138439687411876,0.07257908468148966,,,,
leakage_free,youden_j,0.288330078125,0.5,123,15567,0.48473748473748474,0.21342200725513905,0.43938223938223936,0.23467804499612102,6.300210952758789e-05,0.21114095052083304,0.2713154774823457,0.20470419438611834,0.1574715087411581,0.13212510970462868,0.21611721611721613,0.19845559845559843
leakage_free,youden_j,0.288330078125,0.75,123,15567,0.49206349206349204,0.1336154776299879,0.3969111969111969,0.15399534522885958,6.300210952758789e-05,0.21114095052083304,0.35844801443350416,0.24291585168233734,0.24460404569231656,0.17033676700084768,0.22344322344322343,0.155984555984556
leakage_free,youden_j,0.288330078125,1.0,123,15567,0.6471306471306472,0.14691656590084642,0.5158301158301158,0.17028704422032584,6.300210952758789e-05,0.21114095052083304,0.5002140812298007,0.34554307160979003,0.3863701124886131,0.2729639869283004,0.37851037851037855,0.2749034749034749
leakage_free,youden_j,0.2447509765625,0.0,7,15567,0.2783882783882784,0.1523579201934704,0.2517374517374517,0.1617532971295578,6.300210952758789e-05,0.21114095052083304,0.126030358194808,0.08998415460789391,,,,
leakage_free,youden_j,0.2447509765625,0.5,7,15567,0.3626373626373626,0.14993954050785974,0.3150579150579151,0.1621411947245927,6.300210952758789e-05,0.21114095052083304,0.2126978221295029,0.15291672033332238,0.08666746393469488,0.06293256572542846,0.08424908424908423,0.06332046332046337
leakage_free,youden_j,0.2447509765625,0.75,7,15567,0.503052503052503,0.16384522370012092,0.4301158301158301,0.17416602017067495,6.300210952758789e-05,0.21114095052083304,0.33920727935238215,0.25594980994515515,0.21317692115757414,0.16596565533726124,0.22466422466422464,0.1783783783783784
